year,month,produced_material,produced_material_production_type,produced_material_release_type,produced_material_quantity,component_material,component_material_production_type,component_material_release_type,component_material_quantity,plant_id
2024,1,10000,8002,FIN,990.00,50000,8002,PROD,990.00,RLT_10
2024,1,50000,8002,PROD,859.00,80070,8007,PROD,879.00,RLT_10
2024,1,50000,8002,PROD,859.00,90000,,ADD,50.00,RLT_10
2024,1,50000,8002,PROD,859.00,90001,,ADD,20.00,RLT_10
2024,1,80070,8007,PROD,929.00,80010,8001,PROD,"3,626.00",RLT_10
2024,1,80070,8007,PROD,929.00,90002,,ADD,30.00,RLT_10
2024,1,80070,8007,PROD,929.00,90003,,ADD,11.00,RLT_10
2024,1,80010,8001,PROD,"1,726.00",80000,8000,PROD,"1,818.00",RLT_10
2024,1,80010,8001,PROD,"1,726.00",90004,,ADD,101.00,RLT_10
2024,1,80000,8000,PROD,"1,980.00",70000,,RM,"2,668.00",RLT_10
2024,1,80000,8000,PROD,"1,980.00",90005,,ADD,68.00,RLT_10
2024,2,10000,8002,FIN,960.00,50000,8002,PROD,960.00,RLT_10
2024,2,50000,8002,PROD,839.00,80070,8007,PROD,980.00,RLT_10
2024,2,50000,8002,PROD,839.00,90000,,ADD,49.00,RLT_10
2024,2,50000,8002,PROD,839.00,90001,,ADD,22.00,RLT_10
2024,2,80070,8007,PROD,984.00,80010,8001,PROD,"3,338.00",RLT_10
2024,2,80070,8007,PROD,984.00,90002,,ADD,33.00,RLT_10
2024,2,80070,8007,PROD,984.00,90003,,ADD,10.00,RLT_10
2024,2,80010,8001,PROD,"1,629.00",80000,8000,PROD,"1,876.00",RLT_10
2024,2,80010,8001,PROD,"1,629.00",90004,,ADD,104.00,RLT_10
2024,2,80000,8000,PROD,"1,829.00",70000,,RM,"2,522.00",RLT_10
2024,2,80000,8000,PROD,"1,829.00",90005,,ADD,73.00,RLT_10
2024,3,10000,8002,FIN,968.00,50000,8002,PROD,968.00,RLT_10
2024,3,50000,8002,PROD,721.00,80070,8007,PROD,"1,034.00",RLT_10
2024,3,50000,8002,PROD,721.00,90000,,ADD,46.00,RLT_10
2024,3,50000,8002,PROD,721.00,90001,,ADD,22.00,RLT_10
2024,3,80070,8007,PROD,989.00,80010,8001,PROD,"3,555.00",RLT_10
2024,3,80070,8007,PROD,989.00,90002,,ADD,32.00,RLT_10
2024,3,80070,8007,PROD,989.00,90003,,ADD,11.00,RLT_10
2024,3,80010,8001,PROD,"1,954.00",80000,8000,PROD,"2,192.00",RLT_10
2024,3,80010,8001,PROD,"1,954.00",90004,,ADD,96.00,RLT_10
2024,3,80000,8000,PROD,"2,002.00",70000,,RM,"2,724.00",RLT_10
2024,3,80000,8000,PROD,"2,002.00",90005,,ADD,76.00,RLT_10
2024,4,10000,8002,FIN,"1,006.00",50000,8002,PROD,"1,006.00",RLT_10
2024,4,50000,8002,PROD,783.00,80070,8007,PROD,865.00,RLT_10
2024,4,50000,8002,PROD,783.00,90000,,ADD,46.00,RLT_10
